Keyword	Score	Poem	Author
eternal	0.3774	I Believe I Always Have Believed	Hewitt
evil	0.3584	I Believe I Always Have Believed	Hewitt
kind	0.3397	I Believe I Always Have Believed	Hewitt
fate	0.3353	I Believe I Always Have Believed	Hewitt
believe	0.3255	I Believe I Always Have Believed	Hewitt
saviour	0.3018	I Believe I Always Have Believed	Hewitt
succour	0.284	I Believe I Always Have Believed	Hewitt
hearts	0.283	I Believe I Always Have Believed	Hewitt
forlorn	0.2511	I Believe I Always Have Believed	Hewitt
bak	1.7298	Bakur	Hewitt
fortress	1.5549	Bakur	Hewitt
flee	1.3719	Bakur	Hewitt
blame	1.2177	Bakur	Hewitt
dagestanis	1.0815	Bakur	Hewitt
tell	1.038	Bakur	Hewitt
cause	0.9909	Bakur	Hewitt
ur	0.9543	Bakur	Hewitt
robbed	0.9159	Bakur	Hewitt
die	0.3405	Some Day It Will Happen I Shall Die	Hewitt
earth	0.2624	Some Day It Will Happen I Shall Die	Hewitt
alas	0.2315	Some Day It Will Happen I Shall Die	Hewitt
descend	0.2065	Some Day It Will Happen I Shall Die	Hewitt
sobbing	0.1425	Some Day It Will Happen I Shall Die	Hewitt
worms	0.135	Some Day It Will Happen I Shall Die	Hewitt
rock	0.1201	Some Day It Will Happen I Shall Die	Hewitt
sores	0.3994	I Feel Like Singing And I Shall Sing	Hewitt
sing	0.3393	I Feel Like Singing And I Shall Sing	Hewitt
amiran	0.3146	I Feel Like Singing And I Shall Sing	Hewitt
tear	0.3145	I Feel Like Singing And I Shall Sing	Hewitt
feel	0.3115	I Feel Like Singing And I Shall Sing	Hewitt
sighs	0.2638	I Feel Like Singing And I Shall Sing	Hewitt
soul	1.1646	Voice From The Grave	Hewitt
strength	1.1223999999999998	Voice From The Grave	Hewitt
bones	1.0518	Voice From The Grave	Hewitt
sharpen	0.7698	Voice From The Grave	Hewitt
enemy	0.612	Voice From The Grave	Hewitt
brother	0.5858	Voice From The Grave	Hewitt
pray	0.545	Voice From The Grave	Hewitt
manliness	0.5967	That In Truth Is Not Manliness	Hewitt
minstrelsy	0.3967	That In Truth Is Not Manliness	Hewitt
virtue	0.3872	That In Truth Is Not Manliness	Hewitt
oppressors	0.3149	That In Truth Is Not Manliness	Hewitt
behave	0.2907	That In Truth Is Not Manliness	Hewitt
suffer	0.2673	That In Truth Is Not Manliness	Hewitt
hymns	0.2508	That In Truth Is Not Manliness	Hewitt
brash	0.2359	That In Truth Is Not Manliness	Hewitt
nurture	0.2301	That In Truth Is Not Manliness	Hewitt
man	0.2247	That In Truth Is Not Manliness	Hewitt
love	1.3887999999999998	The Law Of The World Is Thus	Hewitt
cries	1.1214	The Law Of The World Is Thus	Hewitt
thrives	1.027	The Law Of The World Is Thus	Hewitt
living	0.7446	The Law Of The World Is Thus	Hewitt
remains	0.6454	The Law Of The World Is Thus	Hewitt
passions	0.5332	The Law Of The World Is Thus	Hewitt
world	0.4912	The Law Of The World Is Thus	Hewitt
sword	2.1063	Amiran	Hewitt
pinia	2.0223	Amiran	Hewitt
slave	2.0019	Amiran	Hewitt
anvil	1.9521	Amiran	Hewitt
asunder	1.785	Amiran	Hewitt
chains	1.2768	Amiran	Hewitt
tormented	1.1814	Amiran	Hewitt
strives	1.1634	Amiran	Hewitt
demons	1.044	Amiran	Hewitt
mothers	1.3794	The Old Song Of Cavaliers	Hewitt
invade	1.2555999999999998	The Old Song Of Cavaliers	Hewitt
